Rank,id,pop2022,pop2021,GrowthRate,Density
1,China,1425887.337,1425893.465,1.0,146.8933
2,India,1417173.173,1407563.842,1.0068,431.0675
3,United States,338289.857,336997.624,1.0038,36.0935
4,Indonesia,275501.339,273753.191,1.0064,144.6529
5,Pakistan,235824.862,231402.117,1.0191,267.4018
6,Nigeria,218541.212,213401.323,1.0241,236.5759
7,Brazil,215313.498,214326.223,1.0046,25.2841
8,Bangladesh,171186.372,169356.251,1.0108,1160.035
9,Russia,144713.314,145102.755,0.9973,8.4636
10,Mexico,127504.125,126705.138,1.0063,64.9082
11,Japan,123951.692,124612.53,0.9947,327.9753
12,Ethiopia,123379.924,120283.026,1.0257,111.7268
13,Philippines,115559.009,113880.328,1.0147,337.5434
14,Egypt,110990.103,109262.178,1.0158,110.7188
15,DR Congo,99010.212,95894.118,1.0325,42.2244
16,Vietnam,98186.856,97468.029,1.0074,296.4472
17,Iran,88550.57,87923.432,1.0071,53.7258
18,Turkey,85341.241,84775.404,1.0067,108.9145
19,Germany,83369.843,83408.554,0.9995,233.4544
20,Thailand,71697.03,71601.103,1.0013,139.7276
21,United Kingdom,67508.936,67281.039,1.0034,277.9289
22,Tanzania,65497.748,63588.334,1.03,69.3034
23,France,64626.628,64531.444,1.0015,117.1419
24,South Africa,59893.885,59392.255,1.0084,49.0517
25,Italy,59037.474,59240.329,0.9966,195.9191
26,England,57367.811,,1.0072,440.3458
27,Myanmar,54179.306,53798.084,1.0071,80.0784
28,Kenya,54027.487,53005.614,1.0193,93.0919
29,Colombia,51874.024,51516.562,1.0069,45.4339
30,South Korea,51815.81,51830.139,0.9997,517.0722
31,Spain,47558.63,47486.935,1.0015,93.9909
32,Uganda,47249.585,45853.778,1.0304,195.61
33,Sudan,46874.204,45657.202,1.0267,24.8529
34,Argentina,45510.318,45276.78,1.0052,16.3683
35,Algeria,44903.225,44177.969,1.0164,18.8531
36,Iraq,44496.122,43533.592,1.0221,101.5158
37,Afghanistan,41128.771,40099.462,1.0257,63.0587
38,Poland,39857.145,38307.726,1.0404,127.4698
39,Ukraine,39701.739,43531.422,0.912,65.7858
40,Canada,38454.327,38155.012,1.0078,3.8513
41,Morocco,37457.971,37076.584,1.0103,83.883
42,Saudi Arabia,36408.82,35950.396,1.0128,16.9368
43,Angola,35588.987,34503.774,1.0315,28.5466
44,Uzbekistan,34627.652,34081.449,1.016,77.3975
45,Peru,34049.588,33715.471,1.0099,26.4933
46,Malaysia,33938.221,33573.874,1.0109,102.5934
47,Yemen,33696.614,32981.641,1.0217,63.8232
48,Ghana,33475.87,32833.031,1.0196,140.3406
49,Mozambique,32969.518,32077.072,1.0278,41.1302
50,Nepal,30547.58,30034.989,1.0171,207.5511
51,Madagascar,29611.714,28915.653,1.0241,50.4423
52,Venezuela,28301.696,28199.867,1.0036,30.882
53,Ivory Coast,28160.542,27478.249,1.0248,87.3295
54,Cameroon,27914.536,27198.628,1.0263,58.7128
55,Niger,26207.977,25252.722,1.0378,20.6851
56,Australia,26177.413,25921.089,1.0099,3.4032
57,North Korea,26069.416,25971.909,1.0038,216.2755
58,Taiwan,23893.394,23859.912,1.0014,660.1662
59,Burkina Faso,22673.762,22100.683,1.0259,83.0641
60,Mali,22593.59,21904.983,1.0314,18.2178
61,Syria,22125.249,21324.367,1.0376,119.4797
62,Sri Lanka,21832.143,21773.441,1.0027,332.7563
63,Malawi,20405.317,19889.742,1.0259,172.22
64,Zambia,20017.675,19473.125,1.028,26.5976
65,Romania,19659.267,19328.56,1.0171,82.4665
66,Chile,19603.733,19493.184,1.0057,25.9274
67,Kazakhstan,19397.998,19196.465,1.0105,7.1188
68,Ecuador,18001.0,17797.737,1.0114,65.0229
69,Guatemala,17843.908,17608.483,1.0134,163.8725
70,Chad,17723.315,17179.74,1.0316,13.8032
71,Somalia,17597.511,17065.581,1.0312,27.5971
72,Netherlands,17564.014,17501.696,1.0036,419.6897
73,Senegal,17316.449,16876.72,1.0261,88.025
74,Cambodia,16767.842,16589.023,1.0108,92.6221
75,Zimbabwe,16320.537,15993.524,1.0204,41.7665
76,Guinea,13859.341,13531.906,1.0242,56.3716
77,Rwanda,13776.698,13461.888,1.0234,523.0731
78,Benin,13352.864,12996.895,1.0274,118.5635
79,Burundi,12889.576,12551.213,1.027,463.0874
80,Tunisia,12356.117,12262.946,1.0076,75.5218
81,Bolivia,12224.11,12079.472,1.012,11.1272
82,Belgium,11655.93,11611.419,1.0038,381.8111
83,Haiti,11584.996,11447.569,1.012,417.4773
84,Jordan,11285.869,11148.278,1.0123,126.3221
85,Dominican Republic,11228.821,11117.873,1.01,230.7087
86,Cuba,11212.191,11256.372,0.9961,102.0366
87,South Sudan,10913.164,10748.272,1.0153,17.6091
88,Sweden,10549.347,10467.097,1.0079,23.4276
89,Czech Republic,10493.986,10510.751,0.9984,133.0627
90,Honduras,10432.86,10278.345,1.015,92.7431
91,Greece,10384.971,10445.365,0.9942,78.68
92,Azerbaijan,10358.074,10312.992,1.0044,119.6082
93,Portugal,10270.865,10290.103,0.9981,111.5307
94,Papua New Guinea,10142.619,9949.437,1.0194,21.9139
95,Hungary,9967.308,9709.786,1.0265,107.1431
96,Tajikistan,9952.787,9750.064,1.0208,69.5513
97,Belarus,9534.954,9578.167,0.9955,45.9295
98,United Arab Emirates,9441.129,9365.145,1.0081,112.9322
99,Israel,9038.309,8900.059,1.0155,435.1617
100,Austria,8939.617,8922.082,1.002,106.5877
101,Togo,8848.699,8644.829,1.0236,155.8281
102,Switzerland,8740.472,8691.406,1.0056,211.7157
103,Sierra Leone,8605.718,8420.641,1.022,119.957
104,Laos,7529.475,7425.057,1.0141,31.7968
105,Hong Kong,7488.865,7494.578,0.9992,6783.3922
106,Serbia,7221.365,7296.769,0.9897,81.7257
107,Nicaragua,6948.392,6850.54,1.0143,53.2962
108,Libya,6812.341,6735.277,1.0114,3.8717
109,Bulgaria,6781.953,6885.868,0.9849,61.1654
110,Paraguay,6780.744,6703.799,1.0115,16.6705
111,Kyrgyzstan,6630.623,6527.743,1.0158,33.1612
112,Turkmenistan,6430.77,6341.855,1.014,13.1751
113,El Salvador,6336.392,6314.167,1.0035,301.145
114,Singapore,5975.689,5941.06,1.0058,8416.4634
115,Republic of the Congo,5970.424,5835.806,1.0231,17.4574
116,Denmark,5882.261,5854.24,1.0048,136.4984
117,Slovakia,5643.453,5447.622,1.0359,115.0856
118,Central African Republic,5579.144,5457.154,1.0224,8.9555
119,Finland,5540.745,5535.992,1.0009,16.3722
120,Scotland,5504.651,,1.0035,70.6331
121,Lebanon,5489.739,5592.631,0.9816,525.2334
122,Norway,5434.319,5403.021,1.0058,16.7828
123,Liberia,5302.681,5193.416,1.021,47.6136
124,Palestine,5250.072,5133.392,1.0227,844.063
125,New Zealand,5185.288,5129.727,1.0108,19.1716
126,Costa Rica,5180.829,5153.957,1.0052,101.3861
127,Ireland,5023.109,4986.526,1.0073,71.4799
128,Mauritania,4736.139,4614.974,1.0263,4.5951
129,Oman,4576.298,4520.471,1.0123,14.7861
130,Panama,4408.581,4351.267,1.0132,58.4561
131,Kuwait,4268.873,4250.114,1.0044,239.5821
132,Croatia,4030.358,4060.135,0.9927,71.2153
133,Georgia,3744.385,3757.98,0.9964,53.7214
134,Eritrea,3684.032,3620.312,1.0176,31.3268
135,Uruguay,3422.794,3426.26,0.999,18.9069
136,Mongolia,3398.366,3347.782,1.0151,2.1727
137,Moldova,3272.996,3061.506,1.0691,96.7026
138,Puerto Rico,3252.407,3256.028,0.9989,366.675
139,Bosnia and Herzegovina,3233.526,3270.943,0.9886,63.1437
140,Wales,3193.665,,1.0038,153.6968
141,Albania,2842.321,2854.71,0.9957,98.8702
142,Jamaica,2827.377,2827.695,0.9999,257.2447
143,Armenia,2780.469,2790.974,0.9962,93.4831
144,Lithuania,2750.055,2786.651,0.9869,42.1142
145,Gambia,2705.992,2639.916,1.025,253.1567
146,Qatar,2695.122,2688.235,1.0026,232.6189
147,Botswana,2630.296,2588.423,1.0162,4.5194
148,Namibia,2567.012,2530.151,1.0146,3.1092
149,Gabon,2388.992,2341.179,1.0204,8.9252
150,Lesotho,2305.825,2281.454,1.0107,75.962
151,Slovenia,2119.844,2119.41,1.0002,104.5649
152,Guinea-Bissau,2105.566,2060.721,1.0218,58.2856
153,North Macedonia,2093.599,2103.33,0.9954,81.4218
154,Northern Ireland,1914.04,,1.0049,141.1326
155,Latvia,1850.651,1873.919,0.9876,28.666
156,Kosovo,1802.25,,1.0011,165.5415
157,Equatorial Guinea,1674.908,1634.466,1.0247,59.7094
158,Trinidad and Tobago,1531.044,1525.663,1.0035,298.4491
159,Bahrain,1472.233,1463.265,1.0061,1924.4876
160,Timor-Leste,1341.296,1320.942,1.0154,90.1772
161,Estonia,1326.062,1328.701,0.998,29.3201
162,Mauritius,1299.469,1298.915,1.0004,636.9946
163,Cyprus,1251.488,1244.188,1.0059,135.2814
164,Eswatini,1201.67,1192.271,1.0079,69.2047
165,Djibouti,1120.849,1105.557,1.0138,48.3125
166,Reunion,974.052,966.129,1.0082,387.914
167,Fiji,929.766,924.61,1.0056,50.8847
168,Comoros,836.774,821.625,1.0184,449.3953
169,Guyana,808.726,804.567,1.0052,3.7621
170,Bhutan,782.455,777.486,1.0064,20.3796
171,Solomon Islands,724.273,707.851,1.0232,25.0648
172,Luxembourg,647.599,639.321,1.0129,250.425
173,Montenegro,627.082,627.859,0.9988,45.4012
174,Suriname,618.04,612.985,1.0082,3.7727
175,Cape Verde,593.149,587.925,1.0089,147.0739
176,Western Sahara,575.986,565.581,1.0184,2.1654
177,Malta,533.286,526.748,1.0124,1687.6139
178,Maldives,523.787,521.457,1.0045,1745.9567
179,Brunei,449.002,445.373,1.0081,77.8841
180,Bahamas,409.984,407.906,1.0051,29.4043
181,Belize,405.272,400.031,1.0131,17.6466
182,Guadeloupe,395.752,396.051,0.9992,243.0909
183,Iceland,372.899,370.335,1.0069,3.6204
184,Martinique,367.507,368.796,0.9965,325.8041
185,Vanuatu,326.74,319.137,1.0238,26.8061
186,Mayotte,326.101,316.014,1.0319,871.9278
187,French Guiana,304.557,297.449,1.0239,3.6459
188,Barbados,281.635,281.2,1.0015,654.9651
189,Sao Tome and Principe,227.38,223.107,1.0192,235.8714
190,Samoa,222.382,218.764,1.0165,78.2484
191,Saint Lucia,179.857,179.651,1.0011,291.9756
192,Kiribati,131.232,128.874,1.0183,161.815
193,Grenada,125.438,124.61,1.0066,364.6453
194,Micronesia,114.164,113.131,1.0091,162.6268
195,Seychelles,107.118,106.471,1.0061,236.9867
196,Tonga,106.858,106.017,1.0079,143.0495
197,Saint Vincent and the Grenadines,103.948,104.332,0.9963,267.2185
198,Antigua and Barbuda,93.763,93.219,1.0058,212.1335
199,Andorra,79.824,79.034,1.01,170.5641
200,Dominica,72.737,72.412,1.0045,96.8535
201,Greenland,56.466,56.243,1.004,0.0261
202,Saint Kitts and Nevis,47.657,47.606,1.0011,182.5939
203,Marshall Islands,41.569,42.05,0.9886,229.663
204,Liechtenstein,39.327,39.039,1.0074,245.7937
205,Monaco,36.469,36.686,0.9941,18234.5
206,San Marino,33.66,33.745,0.9975,551.8033
207,Palau,18.055,18.024,1.0017,39.3355
208,Nauru,12.668,12.511,1.0125,603.2381
209,Tuvalu,11.312,11.204,1.0096,435.0769
210,Vatican City,0.51,0.511,0.998,510.0
